,g,d,g1,d1
1,0.33038283,0.325,0.319921581,0.309244352
2,0.328795117,0.325280027,0.319921581,0.309244352
3,0.328188769,0.322254284,0.319921581,0.309244352
4,0.3270177,0.324080755,0.319921581,0.309244352
5,0.326621684,0.321056182,0.319921581,0.309244352
6,0.324903034,0.315059275,0.319921581,0.309244352
7,0.323719005,0.311408485,0.319921581,0.309244352
8,0.323417525,0.314742114,0.319921581,0.309244352
9,0.323290923,0.313297295,0.319921581,0.309244352
10,0.323634463,0.318832579,0.319921581,0.309244352
11,0.323883771,0.319233916,0.319921581,0.309244352
12,0.323049995,0.316741426,0.319921581,0.309244352
13,0.322491295,0.311859609,0.319921581,0.309244352
14,0.320951575,0.311180539,0.319921581,0.309244352
15,0.32056814,0.309520441,0.319921581,0.309244352
16,0.320440729,0.304658363,0.319921581,0.309244352
17,0.319921581,0.302244352,0.319921581,0.309244352
18,0.319622632,0.298702623,0.319921581,0.309244352
19,0.318967798,0.298785283,0.319921581,0.309244352
20,0.319271791,0.301508839,0.319921581,0.309244352
21,0.31877919,0.295988728,0.319921581,0.309244352
22,0.319015522,0.296848227,0.319921581,0.309244352
23,0.316820283,0.300487027,0.319921581,0.309244352
24,0.320204158,0.296867862,0.319921581,0.309244352
25,0.316578944,0.298260197,0.319921581,0.309244352
26,0.320881863,0.298869198,0.319921581,0.309244352
27,0.316475768,0.297655957,0.319921581,0.309244352
28,0.315160949,0.297874884,0.319921581,0.309244352
29,0.313357015,0.296972817,0.319921581,0.309244352
30,0.315671344,0.300487934,0.319921581,0.309244352
31,0.311856587,0.301738129,0.319921581,0.309244352
32,0.308206041,0.29840999,0.319921581,0.309244352
33,0.310273547,0.296489946,0.319921581,0.309244352
34,0.309052963,0.29206053,0.319921581,0.309244352
35,0.304270167,0.291696974,0.319921581,0.309244352
36,0.301072974,0.288503198,0.319921581,0.309244352
37,0.300185342,0.287226636,0.319921581,0.309244352
38,0.296077747,0.291588085,0.319921581,0.309244352
39,0.293567021,0.288390423,0.319921581,0.309244352
40,0.293874938,0.282706683,0.319921581,0.309244352
41,0.291897435,0.283074206,0.319921581,0.309244352
42,0.291408081,0.282589113,0.319921581,0.309244352
43,0.288306553,0.278734748,0.319921581,0.309244352
44,0.285875936,0.276855448,0.319921581,0.309244352
45,0.286681969,0.27916737,0.319921581,0.309244352
46,0.285303075,0.277662199,0.319921581,0.309244352
47,0.282605011,0.275396207,0.319921581,0.309244352
48,0.285931606,0.274923958,0.319921581,0.309244352
49,0.282598693,0.28018481,0.319921581,0.309244352
50,0.280810196,0.281423484,0.319921581,0.309244352
51,0.279248197,0.278715893,0.319921581,0.309244352
52,0.278458376,0.277953561,0.319921581,0.309244352
53,0.27997436,0.27649848,0.319921581,0.309244352
54,0.277196188,0.270895872,0.319921581,0.309244352
55,0.280294557,0.273382145,0.319921581,0.309244352
56,0.279911656,0.270094129,0.319921581,0.309244352
57,0.278345544,0.269014006,0.319921581,0.309244352
58,0.274615188,0.268444789,0.319921581,0.309244352
59,0.277733643,0.265083818,0.319921581,0.309244352
60,0.273975689,0.266317483,0.319921581,0.309244352
61,0.275421281,0.264030985,0.319921581,0.309244352
62,0.273435373,0.264242416,0.319921581,0.309244352
63,0.271708031,0.263866093,0.319921581,0.309244352
64,0.275503297,0.261740755,0.319921581,0.309244352
65,0.274724681,0.258839797,0.319921581,0.309244352
66,0.274227459,0.25976919,0.319921581,0.309244352
67,0.271666188,0.259560135,0.319921581,0.309244352
68,0.266720195,0.258204966,0.319921581,0.309244352
69,0.274578412,0.263280599,0.319921581,0.309244352
70,0.271742482,0.263784713,0.319921581,0.309244352
71,0.271104653,0.262103123,0.319921581,0.309244352
72,0.273506422,0.263292647,0.319921581,0.309244352
73,0.265683193,0.261684425,0.319921581,0.309244352
74,0.271955271,0.258089899,0.319921581,0.309244352
75,0.274017472,0.263247744,0.319921581,0.309244352
76,0.274334271,0.261303402,0.319921581,0.309244352
77,0.270780046,0.262860637,0.319921581,0.309244352
78,0.275653679,0.262677456,0.319921581,0.309244352
79,0.275668461,0.263349684,0.319921581,0.309244352
80,0.27133121,0.258871809,0.319921581,0.309244352
81,0.273410161,0.263179341,0.319921581,0.309244352
82,0.270936031,0.259467203,0.319921581,0.309244352
83,0.278537948,0.262568312,0.319921581,0.309244352
84,0.276648839,0.259224906,0.319921581,0.309244352
85,0.274711628,0.260293838,0.319921581,0.309244352
86,0.272277017,0.261793138,0.319921581,0.309244352
87,0.272069056,0.257970795,0.319921581,0.309244352
88,0.269266863,0.258056194,0.319921581,0.309244352
89,0.270418484,0.257217527,0.319921581,0.309244352
90,0.277305741,0.263782431,0.319921581,0.309244352
91,0.276573379,0.259301989,0.319921581,0.309244352
92,0.277231772,0.263733223,0.319921581,0.309244352
93,0.277505655,0.263039766,0.319921581,0.309244352
94,0.273535926,0.263037152,0.319921581,0.309244352
95,0.276683946,0.26121495,0.319921581,0.309244352
96,0.277163823,0.262107459,0.319921581,0.309244352
97,0.276169498,0.261361732,0.319921581,0.309244352
98,0.275632818,0.262037374,0.319921581,0.309244352
99,0.279194732,0.261075263,0.319921581,0.309244352
100,0.276282687,0.260837445,0.319921581,0.309244352
